county,year,yield_kg_ha,cdstress_bo,cdstress_fl,htstress_fl,tmmx_bo,tmmn_bo,tmean_bo,tmmx_fl,tmmn_fl,tmean_fl,tmmn_gf,tmmx_gf,tmean_gf,tmmn,tmmx,tmean
Sacramento,1984,7352.776,0.0,0.0,3.185003244619871,37.26038704451055,17.44136726389027,27.35087715420041,32.95168084151844,16.88899308372869,24.92033696262356,15.207785299957209,33.890669473225444,24.549227386591323,15.013277904948238,32.80230208335686,23.907789994152512
Sacramento,1984,7352.776,0.0,0.0,0.0,37.26038704451055,17.44136726389027,27.35087715420041,32.95168084151844,16.88899308372869,24.92033696262356,15.207785299957209,33.890669473225444,24.549227386591323,15.013277904948238,32.80230208335686,23.907789994152512
Sacramento,1985,8731.4215,0.0,0.0,0.0,36.07951846882786,16.245163801895337,26.1623411353616,33.51400693554835,16.26690629516179,24.89045661535507,13.801911647488373,31.57255590761288,22.687233777550627,14.044153138306182,31.448785912557824,22.746469525431973
Sacramento,1985,8731.4215,0.0,0.0,0.9604744178743796,36.07951846882786,16.245163801895337,26.1623411353616,33.51400693554835,16.26690629516179,24.89045661535507,13.801911647488373,31.57255590761288,22.687233777550627,14.044153138306182,31.448785912557824,22.746469525431973
Sacramento,1985,8731.4215,0.0,0.0,0.0,36.07951846882786,16.245163801895337,26.1623411353616,33.51400693554835,16.26690629516179,24.89045661535507,13.801911647488373,31.57255590761288,22.687233777550627,14.044153138306182,31.448785912557824,22.746469525431973
Sacramento,1986,6725.1,0.8266294253891366,0.0,0.0,33.30990141662439,15.236385039188436,24.273143227906413,32.431451797566666,15.150657386831297,23.79105459219898,14.697949029634078,34.34721726563557,24.522583147634823,13.440992013302,31.11003155534066,22.275511784321296
Sacramento,1986,6725.1,0.0,0.3234924452544021,0.8720291126350772,33.30990141662439,15.236385039188436,24.273143227906413,32.431451797566666,15.150657386831297,23.79105459219898,14.697949029634078,34.34721726563557,24.522583147634823,13.440992013302,31.11003155534066,22.275511784321296
Sacramento,1986,6725.1,0.0,0.0,0.0,33.30990141662439,15.236385039188436,24.273143227906413,32.431451797566666,15.150657386831297,23.79105459219898,14.697949029634078,34.34721726563557,24.522583147634823,13.440992013302,31.11003155534066,22.275511784321296
Sacramento,1987,7845.95,6.29338898045413,0.0,0.0,32.37518633477789,14.929423515551273,23.65230492516457,30.41232936214452,12.254965363231738,21.333647362688133,13.836907039045744,32.476302363117505,23.156604701081623,13.57360785114143,31.56063895060633,22.567123400873843
Sacramento,1987,7845.95,0.0,1.571005187761337,0.0,32.37518633477789,14.929423515551273,23.65230492516457,30.41232936214452,12.254965363231738,21.333647362688133,13.836907039045744,32.476302363117505,23.156604701081623,13.57360785114143,31.56063895060633,22.567123400873843
Sacramento,1987,7845.95,0.0,0.0,0.0,32.37518633477789,14.929423515551273,23.65230492516457,30.41232936214452,12.254965363231738,21.333647362688133,13.836907039045744,32.476302363117505,23.156604701081623,13.57360785114143,31.56063895060633,22.567123400873843
Sacramento,1988,7397.61,1.099127787196467,0.0,0.0,33.53469516806828,15.041322812562402,24.288008990315344,38.49799939704534,19.98096498008514,29.23948218856524,15.17213912506255,33.128050428244755,24.150094776653653,14.71154665100971,32.37337448354105,23.542460567275334
Sacramento,1988,7397.61,0.0,0.0,22.104505311193314,33.53469516806828,15.041322812562402,24.288008990315344,38.49799939704534,19.98096498008514,29.23948218856524,15.17213912506255,33.128050428244755,24.150094776653653,14.71154665100971,32.37337448354105,23.542460567275334
